X,Y,OBJECTID,BRIDGE_ID,featint,county,facility,location,owner,yearbuilt,NHS_indicator,mrm_english,open_posted_closed,suff_rate,roadwidth,StructureType,Bridge_Condition,Bridge_Name
1118021.838,298526.2374,1910851,10390419,NINE MILE CK,10 BUTTE,139TH AVE WETZ RD,7 E 0.9 S VALE, 2 County Hwy Agency,2001,0 Not on NHS,0,"A Open, no restriction",98.300003,28,bridge,good,_
2802709.073,-65762.51597,1910852,50140166,"468 AVE, DRAINAGE",50 MINNEHAHA,I090 E,2.2 E SD 38 INTERCH, 1 State Highway Agency,1961,1 On the NHS,392.47,"A Open, no restriction",77.5,30,bridge,fair,
1337767.079,99637.30481,1910853,52824300,CHEYENNE RV,52 PENNINGTON,OLD WASTA RD,1.0 N 2.4 E WASTA, 2 County Hwy Agency,1940,0 Not on NHS,0,"A Open, no restriction",75,26,bridge,fair,-1
2147167.403,-8992.359166,1910854,8074087,R&W RR,08 BRULE,SD050,2.7 N I 90 INTERCH, 1 State Highway Agency,1952,0 Not on NHS,232.44,"A Open, no restriction",49.900002,48,bridge,poor,
2856940.917,-334015.4503,1910855,64060148,CK,64 UNION,31180 476TH AVE,3E & 1.2N SPINK, 2 County Hwy Agency,1993,0 Not on NHS,0,"A Open, no restriction",86,25.49868766,bridge,fair,-1
2479235.557,344864.6109,1910856,58331330,CREEK,58 SPINK,181ST STREET,9N & 3.1E BLOOMFIELD, 2 County Hwy Agency,1945,0 Not on NHS,0,"A Open, no restriction",79.699997,17.9,bridge,fair,-1
1113172.985,106564.9301,1910857,52398303,RAPID CK,52 PENNINGTON,CANYON LAKE DR,.2W CANYON LK&MT VIEW -RC, 4 City/Municipal Hwy Ag,2003,0 Not on NHS,0,"A Open, no restriction",75.5,40,bridge,fair,
2422511.278,-67359.36776,1910859,18020146,ENEMY CK,18 DAVISON,396TH AVENUE,4.6S & 1W MT VERNON, 2 County Hwy Agency,1967,0 Not on NHS,0,"A Open, no restriction",41.099998,30.4,bridge,poor,-1
2505343.85,712924.9552,1910861,46040115,Crow Creek Ditch,46 MARSHALL,416th Avenue,2N & 1E of Amherst, 2 County Hwy Agency,1935,0 Not on NHS,0,K Closed to all traffic,36,20,bridge,poor,-1
1990309.417,622307.1883,1910862,65270037,Hiddenwood Creek,65 WALWORTH,313th Avenue,1W & 2.3N of Java, 2 County Hwy Agency,1955,0 Not on NHS,0,P Posted for load,80.800003,23.999,bridge,fair,-1
1948830.484,176882.3587,1910863,33246153,MEDICINE KNOLL CK,33 HUGHES,SD034,14.3 E JCT US 14 & 83, 1 State Highway Agency,1964,0 Not on NHS,223.98,"A Open, no restriction",78.900002,30,bridge,fair,-1
2487834.078,-288676.9261,1910865,5056100,Trib. to Dry Choteau Ck,05 BON HOMME,40650 301st Street,1N of Avon, 2 County Hwy Agency,1984,0 Not on NHS,0,"A Open, no restriction",82.099998,22.5,bridge,fair,-1
2585074.731,41118.45465,1910866,49095190,ROCK CK,49 MINER,239TH ST.,6S & 6.5W HOWARD, 2 County Hwy Agency,1910,0 Not on NHS,0,P Posted for load,32,18.1,bridge,poor,-1
1530550.392,770236.7612,1910867,16140011,HAY CREEK,16 CORSON,220th Avenue,0.1S MORRISTOWN, 2 County Hwy Agency,1977,0 Not on NHS,0,"A Open, no restriction",89.699997,30.699,bridge,fair,-1
1074601.632,98457.1907,1910868,52327321,RAPID CK,52 PENNINGTON,HISEGA DRIVE,0.1E 0.1S HISEGA LDG, 2 County Hwy Agency,1973,0 Not on NHS,0,"A Open, no restriction",78.099998,26.201,bridge,fair,-1
1515814.693,-165879.321,1910870,4205016,BEAR IN THE LODGE CK,04 BENNETT,220 AVENUE,13.4N 1.4E MARTIN, 2 County Hwy Agency,1963,0 Not on NHS,0,"A Open, no restriction",72.599998,23.99934383,bridge,fair,-1
2184472.429,-28175.49895,1910871,8145124,I090,08 BRULE,SD050,PUKWANA INTERCHANGE, 1 State Highway Agency,1964,0 Not on NHS,241.61,"A Open, no restriction",91.199997,32,bridge,fair,
920267.484,286150.0555,1910873,41015040,CROW CK,41 LAWRENCE,I-90 SERVICE ROAD,1.5 E WY STATE LINE, 2 County Hwy Agency,1940,0 Not on NHS,0,"A Open, no restriction",83.300003,30,bridge,poor,-1
940892.7304,-204883.2082,1910875,24102188,COAL CK,24 FALL RIVER,IGLOO RD,0.1 E IGLOO (SD298), 2 County Hwy Agency,1940,0 Not on NHS,0,P Posted for load,47.799999,22.96587927,bridge,poor,-1
2822101.117,-101810.5177,1910876,50173235,I029,50 MINNEHAHA,W 49TH ST,0.5 SW 41ST INTERCH, 1 State Highway Agency,1981,0 Not on NHS,0,"A Open, no restriction",80.900002,52,bridge,fair,
2679346.027,-244557.0032,1910877,68150028,Clay Creek,68 YANKTON,29370 443rd Avenue,3.2N & 9W of Irene, 2 County Hwy Agency,1990,0 Not on NHS,0,"A Open, no restriction",80.699997,23.501,bridge,fair,-1
2421106.285,487051.8531,1910878,58231060,DRY RUN CK,58 SPINK,SD020,6.8 W JCT SD 37, 1 State Highway Agency,1958,0 Not on NHS,334.72,"A Open, no restriction",90,30,bridge,fair,-1
2816463.335,207197.4512,1910879,6185130,I029,06 BROOKINGS,209 ST,2 N US14 BY PASS, 1 State Highway Agency,1970,0 Not on NHS,0,"A Open, no restriction",99.699997,32.00131234,bridge,fair,-1
2543529.462,-229314.493,1910880,34135220,DAWSON CREEK,34 HUTCHINSON,41750  290 ST.,0.5 W KAYLOR, 2 County Hwy Agency,1935,0 Not on NHS,0,"A Open, no restriction",72.199997,24.3,bridge,fair,_
2353840.61,386440.6912,1910881,58095249,TURTLE CK,58 SPINK,US281,0.5 N JCT US 212, 1 State Highway Agency,1963,1 On the NHS,154.45,"A Open, no restriction",60.900002,52.00131234,bridge,fair,-1
2845749.038,12596.7056,1910882,50226020,TRIB TO BIG SIOUX RV,50 MINNEHAHA,246TH STREET,2.2E & 0.3S DELL RAPIDS, 2 County Hwy Agency,1940,0 Not on NHS,0,P Posted for load,73.900002,20.5,bridge,poor,-1
2441596.319,560734.3898,1910883,7273400,Mud Creek,07 BROWN,140th Street,2N & 2.7W of Ferney, 2 County Hwy Agency,1990,0 Not on NHS,0,"A Open, no restriction",100,30,bridge,fair,-1
2779982.419,-258332.5685,1910884,14100001,VERMILLION RV,14 CLAY,SD019,0.1 S JCT SD 46, 1 State Highway Agency,2004,0 Not on NHS,25.25,"A Open, no restriction",93.699997,36,bridge,good,
2808389.867,196257.062,1910886,6169150,EAST BR SIX MILE CK,06 BROOKINGS,US014  B,1.6 W I 29 INTERCH, 1 State Highway Agency,1968,1 On the NHS,419.85001,"A Open, no restriction",98.699997,83.99934383,bridge,fair,CPT Elmer A. Rusch
2320986.604,294808.8593,1910887,3029000,Turtle Creek,03 BEADLE,190th Street,12.0W of Hitchcock, 2 County Hwy Agency,1980,0 Not on NHS,0,P Posted for load,58.200001,30,bridge,fair,-1
2647417.983,-4689.413376,1910888,44090039,W. Fork of Vermillion Rv,44 MCCOOK,439th Avenue,2W & 4.1N of Salem, 2 County Hwy Agency,1961,0 Not on NHS,0,"A Open, no restriction",65.800003,23.999,bridge,poor,-1
2031745.494,265066.8676,1910889,60470231,CK,60 SULLY,320 AVENUE,16E & 10.2S ONIDA, 2 County Hwy Agency,1961,0 Not on NHS,0,"A Open, no restriction",62.799999,27.09973753,bridge,poor,-1
2670425.917,-338239.3312,1910890,68128204,MARNE CREEK,68 YANKTON,BURLEIGH STREET,BURLEIGH STREET - YANKTON, 4 City/Municipal Hwy Ag,1989,0 Not on NHS,0,"A Open, no restriction",96.800003,44,bridge,good,-1
2119136.093,-99984.23952,1910891,43465440,Creek,43 LYMAN,265th Street,1N & 0.5W of Iona, 2 County Hwy Agency,2003,0 Not on NHS,0,"A Open, no restriction",92.400002,29.625,bridge,good,-1
2717643.079,-76883.78342,1910892,44219180,E. Fork of Vermillion Rv,44 MCCOOK,262nd Street,7.5S & 0.9E of Montrose, 2 County Hwy Agency,2020,0 Not on NHS,0,"A Open, no restriction",100,32.2,bridge,good,
2863422.72,452615.5897,1910896,26340209,CK,26 GRANT,483 AVENUE,1E & 1.9S ALBEE, 2 County Hwy Agency,2012,0 Not on NHS,0,"A Open, no restriction",100,25.3,bridge,good,-1
1027522.067,511664.254,1910898,10199024,SOUTH FORK MOREAU RV,10 BUTTE,OLD HWY 85,4.6 N 18.7 W HOOVER, 2 County Hwy Agency,1955,0 Not on NHS,0,"A Open, no restriction",84,30,bridge,fair,_
2887869.144,-82919.96918,1910900,50300203,FOUR MILE CREEK,50 MINNEHAHA,"484TH AVE, HWY 109",3W & 2.3S VALLEY SPRINGS, 2 County Hwy Agency,1962,0 Not on NHS,0,"A Open, no restriction",72.199997,30,bridge,fair,
2558858.145,127512.4019,1910901,49050026,REDSTONE CK,49 MINER,423 AVE,2W & 0.6S CARTHAGE, 2 County Hwy Agency,2011,0 Not on NHS,0,"A Open, no restriction",96.300003,30,bridge,good,-1
2453256.189,433399.5953,1910902,58290161,FORDHAM CREEK,58 SPINK,405TH AVE,7.9N & 1W DOLAND, 2 County Hwy Agency,1940,0 Not on NHS,0,"A Open, no restriction",72.800003,17.999,bridge,fair,-1
2317425.414,396065.1745,1910903,58031230,Creek,58 SPINK,171st Street,7S 2.9W ATHOL, 2 County Hwy Agency,1930,0 Not on NHS,0,P Posted for load,33.400002,17.5,bridge,poor,-1
2229099.986,-30547.65365,1910904,8230130,251 ST,08 BRULE,I090 W,2.9 W SD 45 N INTERCH, 1 State Highway Agency,2006,1 On the NHS,281.13,"A Open, no restriction",97.800003,40,bridge,good,
2447263.924,304977.046,1910905,58270405,FOSTER CREEK,58 SPINK,403rd Avenue,3W & 1.5N BLOOMFIELD, 2 County Hwy Agency,1964,0 Not on NHS,0,"A Open, no restriction",78.699997,30.299,bridge,fair,-1
2410701.748,-11451.56291,1910907,18000041,FIRESTEEL CK,18 DAVISON,394TH AVE.,15W & 5.9 N MITCHELL, 2 County Hwy Agency,2022,0 Not on NHS,0,"A Open, no restriction",100,28,bridge,good,
1745693.097,20641.513,1910908,38110195,264 AVE,38 JONES,I090 W,2.2 E OKATON INTERCH, 1 State Highway Agency,1969,1 On the NHS,185.69,"A Open, no restriction",94.800003,37.99868766,bridge,fair,-1
2818297.584,11701.16145,1910909,50175020,I029,50 MINNEHAHA,SD115,SD 115 & I29 INTERCHANGE, 1 State Highway Agency,2017,0 Not on NHS,107.54,"A Open, no restriction",100,52,bridge,good,
1233095.667,692760.6382,1910910,53035175,BIG NASTY CK,53 PERKINS,WHITE HILL ROAD,3.5W 11.5N PRAIRIE, 2 County Hwy Agency,1991,0 Not on NHS,0,"A Open, no restriction",83.099998,30.098,bridge,good,-1
2888841.176,174545.2557,1910911,6320198,MEDARY CK,06 BROOKINGS,SD013,0.8 S JCT US 14, 1 State Highway Agency,1938,0 Not on NHS,127.08,"A Open, no restriction",65.099998,30,bridge,poor,-1
2477075.881,154017.199,1910914,3317270,S. Fork of Pearl Creek,03 BEADLE,217th Street,9.0S & 1.3W of Cavour, 2 County Hwy Agency,2022,0 Not on NHS,0,"A Open, no restriction",100,24,bridge,good,
1855882.599,30457.88838,1910915,38319174,MEDICINE CK,38 JONES,SD248,3.1 W LYMAN CO LINE, 1 State Highway Agency,1941,0 Not on NHS,219.83,"A Open, no restriction",90.599998,30,bridge,fair,-1
2820798.998,86010.26546,1910919,51065120,232 ST,51 MOODY,I029 S,3 N SD 34 INTERCH, 1 State Highway Agency,1967,1 On the NHS,112.83,"A Open, no restriction",92.599998,38,bridge,fair,
2294062.661,346536.6329,1910920,30280082,CK,30 HAND,373 AVE,4E & 8.2S ROCKHAM, 2 County Hwy Agency,1969,0 Not on NHS,0,"A Open, no restriction",89.800003,24.301,bridge,fair,-1
2262574.251,367348.9216,1910921,30220041,CK,30 HAND,366 AVE,6 E & 20.9 N MILLER, 2 County Hwy Agency,1970,0 Not on NHS,0,"A Open, no restriction",89.699997,30.49868766,bridge,fair,-1
2814661.807,252697.7464,1910922,6184044,BR NORTH DEER CK,06 BROOKINGS,I029 S,4.4 S DEUEL CO LINE, 1 State Highway Agency,1970,1 On the NHS,144.44,"A Open, no restriction",84.599998,37.99868766,bridge,fair,-1
1304778.541,324421.2562,1910923,47510237,RED OWL CK,47 MEADE,RED OWL RD.,0.1 M1. S. RED OWL, 2 County Hwy Agency,2010,0 Not on NHS,0,"A Open, no restriction",99.900002,30.2,bridge,fair,-1
2308934.321,501657.3466,1910924,58019030,SNAKE CREEK,58 SPINK,151ST ST,3N 5.1W NORTHVILLE, 2 County Hwy Agency,1935,0 Not on NHS,0,P Posted for load,24,17.1,bridge,poor,-1
2876356.267,-33719.12336,1910926,50282110,WEST PIPESTONE CREEK,50 MINNEHAHA,255TH STREET,6.5N & 0.2E BRANDON, 2 County Hwy Agency,1992,0 Not on NHS,0,"A Open, no restriction",97,32,bridge,fair,-1
2838748.993,-40326.96251,1910927,50208120,SILVER CK,50 MINNEHAHA,256TH STREET,2N & 0.3E RENNER, 2 County Hwy Agency,1991,0 Not on NHS,0,"A Open, no restriction",82.099998,31.8,bridge,fair,-1
2649493.948,-15634.20153,1910928,44093060,W. Fork of Vermillion Rv,44 MCCOOK,250th Street,2N & 1.7W of Salem, 2 County Hwy Agency,2005,0 Not on NHS,0,"A Open, no restriction",92.699997,28.5,bridge,good,-1
2881083.111,463517.3225,1910929,26374190,S Fork Yellow Bank River,26 GRANT,161 STREET,4.4E ALBEE, 2 County Hwy Agency,1940,0 Not on NHS,0,P Posted for load,43,23.999,bridge,poor,-1
2518194.561,-341201.7866,1910931,5109202,Emanuel Creek,05 BON HOMME,41090 311th Street,2.1W & 1N of Springfield, 2 County Hwy Agency,1989,0 Not on NHS,0,"A Open, no restriction",83.099998,26.4,bridge,fair,-1
2795129.247,-320965.4439,1910932,14125120,VERMILLION RV,14 CLAY,46450 309TH ST.,3S & 0.5W HUB CITY, 2 County Hwy Agency,1981,0 Not on NHS,0,"A Open, no restriction",87.900002,30,bridge,fair,-1
2813952.482,270442.3805,1910933,6184010,197 ST,06 BROOKINGS,I029 S,1 S DEUEL CO LINE, 1 State Highway Agency,1970,1 On the NHS,147.8,"A Open, no restriction",90.300003,37.99868766,bridge,fair,-1
1379223.942,64012.67166,1910935,52910365,SD240,52 PENNINGTON,I090 W,SD240 & WALL INTERCHANGE, 1 State Highway Agency,1968,1 On the NHS,110.98,"A Open, no restriction",96,37.99868766,bridge,fair,-1
2829945.67,-318767.6274,1910937,64010119,BRULE CK,64 UNION,30890 471 AVE.,10.9S BERESFORD, 2 County Hwy Agency,2017,0 Not on NHS,0,"A Open, no restriction",99.199997,30,bridge,good,
2623675.326,-183459.6126,1910938,34290137,CK,34 HUTCHINSON,28170 433 AVE.,"4.3N,2.0E OF MENNO", 2 County Hwy Agency,1984,0 Not on NHS,0,"A Open, no restriction",92.300003,23.5,bridge,fair,_
2535880.082,-156108.6342,1910942,34125080,NORTH BR DRY CK,34 HUTCHINSON,SD044,6.5 E JCT SD 37, 1 State Highway Agency,1964,0 Not on NHS,355.10999,"A Open, no restriction",87.5,30,bridge,fair,
2386667.709,-143780.3767,1910943,22142050,ANDES CK,22 DOUGLAS,38820 273 ST,0.8 W CORSICA, 2 County Hwy Agency,1950,0 Not on NHS,0,"A Open, no restriction",70.400002,25.80052493,bridge,fair,-1
2194700.533,-83793.52485,1910945,8162230,CK,08 BRULE,261 STREET,1.7E & 12S PUKWANA, 2 County Hwy Agency,1961,0 Not on NHS,0,"A Open, no restriction",89.699997,23.99934383,bridge,fair,-1
2565158.619,245331.58,1910946,39070041,CK,39 KINGSBURY,425TH AVE,2 E & 0.1 S BANCROFT, 2 County Hwy Agency,1935,0 Not on NHS,0,P Posted for load,46.599998,25,bridge,poor,-1
1136347.063,-219428.476,1910947,24475200,SOUTH FORK BLACKTAIL CK,24 FALL RIVER,US018,6 E JCT US 385 S, 1 State Highway Agency,1952,1 On the NHS,68.199997,"A Open, no restriction",81,30,bridge,fair,-1
2793951.89,324944.1347,1910948,20030206,HIDEWOOD CK,20 DEUEL,CO RD 313 469TH AV,4.6 S 6.0W CLEAR LAKE, 2 County Hwy Agency,1966,0 Not on NHS,0,"A Open, no restriction",94.900002,27.999,bridge,fair,-1
2485734.519,-321066.6963,1910949,5050161,Trib. to Choteau Creek,05 BON HOMME,30710 406th Avenue,4.1S of Avon, 2 County Hwy Agency,1930,0 Not on NHS,0,P Posted for load,40,24.6,bridge,poor,-1
2526385.489,181388.3195,1910950,3411220,S. Fork of Pearl Creek,03 BEADLE,212th Street,4S & 0.9W of Iroquois, 2 County Hwy Agency,1922,0 Not on NHS,0,P Posted for load,26.4,17.1,bridge,poor,-1
2788775.745,-389776.1731,1910951,14104249,MISSOURI RIVER/COUNTY RD,14 CLAY,SD019,4.1 S. OF VERMILLION, 1 State Highway Agency,2001,1 On the NHS,0.36000001,"A Open, no restriction",86.800003,35.761,bridge,fair,Vermillion Missouri River Bridge
1021732.61,376757.1144,1910953,10200278,NORTH CANAL,10 BUTTE,ARPAN RD,5W 9 N NISLAND, 2 County Hwy Agency,1967,0 Not on NHS,0,"A Open, no restriction",91.400002,22.5,bridge,fair,_
1456111.185,743438.7862,1910954,53460065,CK,53 PERKINS,RIEDY ROAD,THUNDER HAWK CREEK, 2 County Hwy Agency,1991,0 Not on NHS,0,"A Open, no restriction",81,28.30052493,bridge,good,-1
2851976.005,471181.6477,1910955,26320172,CK,26 GRANT,481 AVE,1.0W & 1.8N ALBEE, 2 County Hwy Agency,2005,0 Not on NHS,0,"A Open, no restriction",90.099998,25.3,bridge,good,-1
2852710.296,31849.57391,1910956,51120224,Big Sioux River,51 MOODY,242nd Street,2.4S of Trent, 2 County Hwy Agency,1983,0 Not on NHS,0,P Posted for load,51.400002,21.699,bridge,poor,-1
2742745.448,691024.6102,1910957,55124170,I029,55 ROBERTS,IRR 117 ST,2.0 N SD 10 & I29 INTERCH, 1 State Highway Agency,1982,0 Not on NHS,0,"A Open, no restriction",98.900002,32.00131234,bridge,fair,-1
2797284.823,534998.7018,1910958,26220049,CK,26 GRANT,471 AVENUE,7W & 2.1N MILBANK, 2 County Hwy Agency,1926,0 Not on NHS,0,P Posted for load,40,23.301,bridge,poor,-1
2824007.967,-63312.58747,1910959,50180162,"I029, DRAINAGE DITCH",50 MINNEHAHA,I090 W,I 90 & I 29 INTERCHANGE, 1 State Highway Agency,1961,1 On the NHS,396.54999,"A Open, no restriction",96,44.00000164,bridge,fair,
1085737.597,-98817.85996,1910960,17367246,BEAVER CK,17 CUSTER,SD079S,2.7 N FALL RIVER CO LINE, 1 State Highway Agency,2004,1 On the NHS,35.560001,"A Open, no restriction",93.599998,36,bridge,fair,_
1813962.784,27989.89725,1910961,38240179,277 AVE,38 JONES,I090 E,2 W DRAPER INTERCH, 1 State Highway Agency,1970,1 On the NHS,199.16,"A Open, no restriction",95.800003,37.99868766,bridge,fair,-1
2312704.796,-187951.1656,1910962,12300132,PEASE CK,12 CHARLES MIX,SD050,5.3 S JCT SD 44 E, 1 State Highway Agency,1955,0 Not on NHS,295.45999,"A Open, no restriction",78,30,bridge,fair,
2837165.371,60138.11543,1910963,51093170,Big Sioux River,51 MOODY,237th Street,3.5S & 2.6W of Egan, 2 County Hwy Agency,1976,0 Not on NHS,0,P Posted for load,37.900002,26.499,bridge,poor,-1
1047839.567,-130249.6048,1910966,24298038,FALL RV,24 FALL RIVER,US018,0.1 W JCT US 385, 1 State Highway Agency,1968,1 On the NHS,40.459999,"A Open, no restriction",63.299999,53.999,bridge,fair,
2503006.503,228340.3673,1910967,3371130,Pearl Creek,03 BEADLE,203rd Street,5N & 4.9W of Iroquois, 2 County Hwy Agency,1924,0 Not on NHS,0,P Posted for load,33.400002,19.301,bridge,poor,-1
2361276.749,9916.692583,1910969,2150058,WEST FIRESTEEL CK,02 AURORA,385 AVE,9.2N 1W PLANKINTON, 2 County Hwy Agency,1973,0 Not on NHS,0,"A Open, no restriction",78.099998,18.90091864,bridge,good,-1
1341873.334,94557.72146,1910970,52831309,BULL CK,52 PENNINGTON,I090 W,3.3 E WASTA INTERCH, 1 State Highway Agency,1964,1 On the NHS,101.4,"A Open, no restriction",77.800003,30,bridge,fair,-1
2810140.736,-83779.99371,1910971,50153200,WILLOW CK,50 MINNEHAHA,"264TH, MADISON ST",0.5S & 0.3E ELLIS, 2 County Hwy Agency,1957,0 Not on NHS,0,"A Open, no restriction",68,30,bridge,fair,
2821366.533,-171795.3981,1910973,42065130,I029,42 LINCOLN,281 ST,1 N US 18 E INTERCH, 1 State Highway Agency,1958,0 Not on NHS,0,"A Open, no restriction",82,24,bridge,fair,
2529669.689,-335192.8121,1910974,5132190,Creek,05 BON HOMME,41420 310th Street,2N & 0.8W of Springfield, 2 County Hwy Agency,1970,0 Not on NHS,0,P Posted for load,85.800003,29.6,bridge,fair,-1
2455661.515,133522.0855,1910975,56094010,JAMES RV,56 SANBORN,221ST STREET,3.4E JCT SD37 & SD32, 2 County Hwy Agency,1957,0 Not on NHS,0,P Posted for load,74.599998,24,bridge,fair,
2767040.493,-200907.5826,1910976,63198181,VERMILLION RV,63 TURNER,28610 460 AVE,1.1S & 0.2W DAVIS, 2 County Hwy Agency,2008,0 Not on NHS,0,"A Open, no restriction",92.699997,24,bridge,good,-1
